"date","bw_alltweets","bw_noRTMT"
2015-01-03,"7618","4243"
2015-01-04,"8148","4715"
2015-01-05,"9170","5146"
2015-01-06,"9835","5789"
2015-01-07,"8028","4190"
2015-01-08,"7789","4298"
2015-01-09,"7780","4307"
2015-01-10,"11988","5913"
2015-01-11,"9568","5491"
2015-01-12,"9687","5652"
2015-01-13,"10721","6927"
2015-01-14,"7963","5128"
2015-01-15,"8125","4396"
2015-01-16,"7061","3923"
2015-01-17,"8049","4304"
2015-01-18,"10865","6468"
2015-01-19,"9934","5675"
2015-01-20,"8829","5193"
2015-01-21,"11295","7193"
2015-01-22,"9748","5795"
2015-01-23,"6148","3664"
2015-01-24,"6603","3936"
2015-01-25,"8403","5315"
2015-01-26,"8059","4511"
2015-01-27,"12483","5683"
2015-01-28,"10750","4756"
2015-01-29,"6061","3875"
2015-01-30,"5142","3461"
2015-01-31,"5300","3369"
2015-02-01,"8948","5092"
2015-02-02,"8551","4861"
2015-02-03,"7610","4729"
2015-02-04,"12944","6457"
2015-02-05,"13202","7838"
2015-02-06,"8954","5731"
2015-02-07,"6736","4257"
2015-02-08,"7498","4929"
2015-02-09,"8917","4317"
2015-02-10,"7333","4387"
2015-02-11,"8795","5409"
2015-02-12,"22470","6674"
2015-02-13,"10241","4155"
2015-02-14,"7047","3664"
2015-02-15,"7636","4163"
2015-02-16,"9997","6390"
2015-02-17,"7758","4974"
2015-02-18,"7429","4724"
2015-02-19,"7631","4783"
2015-02-20,"7918","4653"
2015-02-21,"7297","4609"
2015-02-22,"22502","10054"
2015-02-23,"9654","5893"
2015-02-24,"12397","6971"
2015-02-25,"22933","13704"
2015-02-26,"22081","12081"
2015-02-27,"13039","7212"
2015-02-28,"12020","7949"
2015-03-01,"10968","6525"
2015-03-02,"10620","6618"
2015-03-03,"10090","6589"
2015-03-04,"10286","6234"
2015-03-05,"11054","6930"
2015-03-06,"9543","6116"
2015-03-07,"10191","5930"
2015-03-08,"10102","6990"
2015-03-09,"12264","7846"
2015-03-10,"11547","6711"
2015-03-11,"10965","7454"
2015-03-12,"8190","5515"
2015-03-13,"6715","4379"
2015-03-14,"9452","5738"
2015-03-15,"8869","5204"
2015-03-16,"8604","5537"
2015-03-17,"11078","8017"
2015-03-18,"13313","6780"
2015-03-19,"23889","12191"
2015-03-20,"10303","6440"
2015-03-21,"8014","4254"
2015-03-22,"8175","5086"
2015-03-23,"8130","4862"
2015-03-24,"14694","8239"
2015-03-25,"21864","11567"
2015-03-26,"15487","8704"
2015-03-27,"10219","6175"
2015-03-28,"7429","4088"
2015-03-29,"16791","10784"
2015-03-30,"13325","8510"
2015-03-31,"10012","6130"
2015-04-01,"14752","9688"
2015-04-02,"9355","6119"
2015-04-03,"7838","5008"
2015-04-04,"8470","4767"
2015-04-05,"9829","5951"
2015-04-06,"11974","7262"
2015-04-07,"10182","5534"
2015-04-08,"11318","5010"
2015-04-09,"11213","5708"
2015-04-10,"12097","6228"
2015-04-11,"7893","4940"
2015-04-12,"7703","4843"
2015-04-13,"8365","5554"
2015-04-14,"9501","5832"
2015-04-15,"9878","6186"
2015-04-16,"9696","5500"
2015-04-17,"13472","9262"
2015-04-18,"7969","4505"
2015-04-19,"8671","5008"
2015-04-20,"8467","4964"
2015-04-21,"10228","5274"
2015-04-22,"10267","5556"
2015-04-23,"17621","8720"
2015-04-24,"12273","5745"
2015-04-25,"7745","4656"
2015-04-26,"9528","5192"
2015-04-27,"9846","5008"
2015-04-28,"8847","4655"
2015-04-29,"11185","5882"
2015-04-30,"8909","4923"
2015-05-01,"6436","3750"
2015-05-02,"6828","3856"
2015-05-03,"8073","4627"
2015-05-04,"9140","4958"
2015-05-05,"10282","5779"
2015-05-06,"7638","4726"
2015-05-07,"9408","4861"
2015-05-08,"6595","3487"
2015-05-09,"7097","3596"
2015-05-10,"7780","4734"
2015-05-11,"13341","7035"
2015-05-12,"13156","7262"
2015-05-13,"10165","6621"
2015-05-14,"9281","5886"
2015-05-15,"8057","5224"
2015-05-16,"10265","6684"
2015-05-17,"10132","5359"
2015-05-18,"11641","6641"
2015-05-19,"10323","5665"
2015-05-20,"11342","6315"
2015-05-21,"8670","5153"
2015-05-22,"7657","4703"
2015-05-23,"6353","4198"
2015-05-24,"7699","4045"
2015-05-25,"10613","5864"
2015-05-26,"9401","6119"
2015-05-27,"10910","6748"
2015-05-28,"11310","6172"
2015-05-29,"6968","3988"
2015-05-30,"7025","4140"
2015-05-31,"9924","5825"
2015-06-01,"11220","5562"
2015-06-02,"10275","5893"
2015-06-03,"17480","5719"
2015-06-04,"11181","5489"
2015-06-05,"7660","4174"
2015-06-06,"8054","4065"
2015-06-07,"15692","7659"
2015-06-08,"12868","6791"
2015-06-09,"12074","6777"
2015-06-10,"10762","6188"
2015-06-11,"8354","5201"
2015-06-12,"7423","4150"
2015-06-13,"7378","3891"
2015-06-14,"8972","5123"
2015-06-15,"7326","4271"
2015-06-16,"9230","4521"
2015-06-17,"9337","5510"
2015-06-18,"8196","4419"
2015-06-19,"6674","3601"
2015-06-20,"5155","3215"
2015-06-21,"17653","7925"
2015-06-22,"11979","6620"
2015-06-23,"10505","5995"
2015-06-24,"8552","4640"
2015-06-25,"11549","5968"
2015-06-26,"7108","3737"
2015-06-27,"6189","3614"
2015-06-28,"8059","4731"
2015-06-29,"11105","5533"
2015-06-30,"7490","4458"
2015-07-01,"7241","3905"
2015-07-02,"6498","3888"
2015-07-03,"5442","3465"
2015-07-04,"5674","3525"
2015-07-05,"8250","4933"
2015-07-06,"8654","4855"
2015-07-07,"8581","5056"
2015-07-08,"6907","4080"
2015-07-09,"6857","4057"
2015-07-10,"6202","3932"
2015-07-11,"6550","4104"
2015-07-12,"7709","4827"
2015-07-13,"8066","4757"
2015-07-14,"8620","3870"
2015-07-15,"21920","7056"
2015-07-16,"18282","7926"
